Unnamed: 0,10percentage,12percentage,collegeGPA,personality score,aptitude score,openess_to_experience,Domain,GraduationYear,Year of Birth,Gender,Degree,CollegeTier,Specialization,CollegeCityTier,Salary
2664,75.0,71.6,68.75,8.275390049495126,2.950654860726804,9.574501160350437,8.724182578482786,2014,1992,m,B.Tech/B.E.,Tier2College,computer science & engineering,CityTier0,320000
38,64.0,62.0,75.0,5.019853690752336,3.3661532312611446,7.87239476343286,6.782986290653876,2014,1991,m,B.Tech/B.E.,Tier2College,computer science & engineering,CityTier0,180000
525,90.5,94.9,78.25,6.348970735918981,5.10745249953883,7.659534305288756,7.072003927487935,2013,1990,m,B.Tech/B.E.,Tier2College,mechanical engineering,CityTier0,100000
2404,65.0,45.0,72.0,6.093893249331508,5.078183606960585,8.046058694855594,8.520833759269081,2012,1990,m,B.Tech/B.E.,Tier2College,computer engineering,CityTier0,180000
2211,59.0,65.2,73.32,6.50728576941163,4.223021582733813,7.607457333525799,8.000644306862371,2012,1988,m,B.Tech/B.E.,Tier2College,computer engineering,CityTier0,350000
1310,87.0,78.0,71.5,5.490608297453279,3.956926766279284,7.446784885463973,7.43406805651266,2014,1993,f,B.Tech/B.E.,Tier2College,computer science & engineering,CityTier0,95000
2960,67.2,68.6,72.56,6.795185126054424,5.4509930517124765,7.51973706125984,8.472776186482049,2012,1991,m,B.Tech/B.E.,Tier2College,electronics and communication engineering,CityTier0,420000
2492,73.0,58.0,66.0,4.682912701606387,2.444782635430117,5.765553692579309,6.147684166659931,2010,1989,m,B.Tech/B.E.,Tier2College,electronics & telecommunications,CityTier0,505000
607,68.3,81.3,76.0,6.3021205556224125,4.23962368566685,8.297893603082423,9.716796063596464,2013,1990,m,B.Tech/B.E.,Tier2College,electronics & telecommunications,CityTier0,175000
882,65.0,62.0,60.0,7.362749781952654,3.4810766771198423,9.574501160350437,7.1851351053121775,2012,1989,m,B.Tech/B.E.,Tier2College,electronics and communication engineering,CityTier0,100000
1729,78.0,69.0,78.0,4.6756656624790764,4.251783188833548,4.186810868430696,5.29420115903512,2013,1991,f,B.Tech/B.E.,Tier2College,electronics and communication engineering,CityTier0,300000
1909,84.0,81.0,67.0,7.055298068676227,4.129311935067331,7.87239476343286,6.644029520946421,2013,1991,m,B.Tech/B.E.,Tier2College,mechanical engineering,CityTier1,275000
2125,78.0,77.0,83.0,6.886167728009371,6.8090604439525295,7.446784885463973,5.560946298150372,2013,1990,m,B.Tech/B.E.,Tier2College,electronics and communication engineering,CityTier1,265000
1166,66.0,64.0,68.0,6.655394623047351,7.203606345692677,7.659534305288756,6.147684166659931,2013,1991,m,B.Tech/B.E.,Tier2College,electronics and communication engineering,CityTier0,350000
339,81.16,68.5,61.5,8.275224612819617,4.719993236180287,7.87239476343286,6.694231609799194,2013,1990,m,B.Tech/B.E.,Tier2College,Other,CityTier0,275000
2459,77.2,65.2,66.7,6.721669717104084,6.351979954497939,8.723392442731987,8.82876339828519,2013,1991,m,B.Tech/B.E.,Tier2College,computer engineering,CityTier0,300000
2729,64.0,68.0,61.0,7.967327044592574,5.554940662854332,6.818085921451493,7.692279048332249,2010,1984,f,B.Tech/B.E.,Tier2College,electronics and communication engineering,CityTier0,200000
1895,80.0,83.6,71.36,6.5647037892049145,6.362925044579721,7.446784885463973,9.769936529076755,2014,1991,m,B.Tech/B.E.,Tier2College,computer science & engineering,CityTier0,350000
116,83.2,72.3,68.0,7.866920339828758,5.799744819528992,8.085144183257643,9.80495465774885,2013,1990,m,B.Tech/B.E.,Tier2College,computer science & engineering,CityTier1,350000
2778,72.3,60.2,69.38,6.871929758865368,4.614800467318453,7.446784885463973,8.472776186482049,2013,1990,m,B.Tech/B.E.,Tier2College,electronics and communication engineering,CityTier1,280000
1872,57.0,69.6,61.06,8.30231889605966,5.110511590727418,9.14889128238155,7.43406805651266,2013,1992,m,B.Tech/B.E.,Tier2College,computer science & engineering,CityTier0,210000
502,71.6,69.4,73.64,6.412657234400292,5.414868105515588,7.344296516727922,6.888065652788982,2013,1992,f,B.Tech/B.E.,Tier2College,information technology,CityTier0,300000
2223,72.0,69.0,65.5,6.210573021010249,4.150863924245219,8.839427486425565,0.0,2014,1991,m,MCA,Tier2College,computer application,CityTier0,480000
734,76.0,77.0,68.0,8.256199844387991,2.836991944905614,9.098479885408455,6.380521961861803,2010,1987,f,B.Tech/B.E.,Tier2College,computer engineering,CityTier0,320000
