,Gender,10percentage,10board,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary,Year of Birth,personality score,aptitude score
0,f,87.8,cbse,84.0,cbse,1,B.Tech/B.E.,instrumentation and control engineering,73.82,1,Delhi,2013,6.762589928057554,7.833333333333333,8.846153846153847,8.472776186482049,6.341575247087594,8.014805370524563,8.636471179723774,4.651655408222834,0.2889,445000,1990,7.085299097278274,7.814025702514911
1,m,57.0,cbse,64.5,cbse,2,B.Tech/B.E.,computer science & engineering,65.0,0,Uttar Pradesh,2014,3.741007194244604,4.0,1.1538461538461537,6.711875165159898,8.536664062765341,7.5815726477935055,8.636471179723774,5.285964473355016,-0.2859,110000,1990,7.3671858542319,2.9649511160302526
2,m,77.33,"maharashtra state board,pune",85.17,amravati divisional board,2,B.Tech/B.E.,electronics & telecommunications,61.94,0,Maharashtra,2011,4.388489208633094,4.666666666666667,4.935897435897436,9.123740712088939,7.477668715823795,7.36157368859284,9.084819448141246,3.9242765407388873,-0.2875,255000,1989,7.499946327954749,4.663684437065732
3,m,84.3,cbse,86.0,cbse,1,B.Tech/B.E.,computer science & engineering,80.4,1,Delhi,2013,7.122302158273381,7.083333333333333,6.602564102564102,9.950489527128859,5.853683388241687,7.798189009159034,7.272794487327359,4.86314736052039,0.4805,420000,1991,6.515379881051922,6.936066531390272
4,f,82.0,cbse,75.0,cbse,2,B.Tech/B.E.,biotechnology,64.3,1,Tamil Nadu,2012,5.683453237410072,5.0,3.141025641025641,6.392573406718328,4.065652277281527,6.549620108243131,5.2216603081654975,4.512100742223334,0.1864,200000,1990,5.331207987866705,4.6081596261452376
5,f,83.16,icse,77.0,cbse,1,M.Tech./M.E.,instrumentation and control engineering,99.93,0,Punjab,2013,5.107913669064748,6.666666666666667,6.410256410256411,6.880606158633483,8.048772203919437,6.7151072023313905,5.681838346198208,2.7487282128262858,-0.2859,440000,1989,6.924247384905687,6.061612248662608
6,f,72.5,state board,53.2,state board,2,B.Tech/B.E.,mechanical engineering,68.0,1,West Bengal,2013,4.748201438848921,5.0,3.6538461538461537,9.1483328087165,6.829297286281967,6.931723563696919,7.272794487327359,5.920440330247685,-0.0943,150000,1989,6.27834375176464,4.467349197565024
7,f,77.0,state board,88.0,state board,2,B.Tech/B.E.,computer science & engineering,71.0,1,Telangana,2013,2.7338129496402876,4.583333333333333,2.051282051282051,8.520833759269081,6.829297286281967,8.23142173189009,7.500073936060094,5.920440330247685,-0.2859,105000,1991,6.660088155996117,3.1228094447518906
8,m,76.8,state board,87.7,state board,2,B.Tech/B.E.,information technology,73.15,0,Andhra Pradesh,2014,4.748201438848921,6.0,4.102564102564102,8.724182578482786,6.341575247087594,6.931723563696919,7.0455150385946235,5.285964473355016,-0.0943,195000,1992,6.25821234400603,4.950255180471007
9,f,57.0,state board,73.0,state board,2,B.Tech/B.E.,computer science & engineering,70.08,0,Uttar Pradesh,2014,4.60431654676259,3.5833333333333335,5.641025641025641,8.113578035841693,5.3659613490473115,6.931723563696919,6.363676692396416,6.766074555916937,0.6721,200000,1993,5.473821762305928,4.609558507040521
10,m,77.0,state board,75.0,state board,2,B.Tech/B.E.,electronics & telecommunications,62.0,0,Maharashtra,2013,7.122302158273381,7.25,4.67948717948718,6.037231293813038,9.512277960805623,8.23142173189009,8.181912282258303,3.594529230256026,0.8637,335000,1990,8.082770686174497,6.3505964459201865
11,m,81.2,state board,79.9,state board,2,B.Tech/B.E.,instrumentation and control engineering,67.67,0,Uttar Pradesh,2013,3.093525179856115,6.166666666666667,6.730769230769231,0.0,7.80491118432225,8.44803809325562,6.818235589861887,2.7487282128262858,0.6721,300000,1992,7.580614163653367,5.330320359097338
12,f,85.0,delhi board,88.0,all india board,2,B.Tech/B.E.,information technology,85.0,0,Haryana,2013,4.532374100719425,4.166666666666667,6.217948717948718,8.82876339828519,3.2781985531365687,4.672278309741881,2.6999970425575963,5.1001584521724626,-0.4455,480000,1991,3.8875788633158956,4.972329828444937
13,f,90.0,state board,82.1,state board,2,B.Tech/B.E.,computer science & engineering,85.0,0,Telangana,2014,6.618705035971223,5.583333333333333,7.5,7.43406805651266,8.292803043168155,8.44803809325562,6.590956141129151,2.5372362605287297,0.8637,550000,1992,7.698640254256048,6.567346123101519
14,m,86.4,cbse,86.2,cbse,2,B.Tech/B.E.,electronics and communication engineering,81.4,1,West Bengal,2014,7.76978417266187,7.25,8.076923076923077,6.694231609799194,8.78052508236253,8.881270815986678,7.954632833525567,2.3257443082311733,0.6721,325000,1991,8.322671105910901,7.698902416528315
15,m,84.13,0,77.0,0,2,B.Tech/B.E.,information technology,75.2,0,Karnataka,2012,2.949640287769784,5.333333333333333,4.423076923076923,7.629954711451254,6.887205787453723,8.782264779350543,8.440984236831987,5.14919522975565,-0.1295,405000,1990,7.240314893470151,4.235350181393347
16,m,81.7,hse,75.8,chse,2,B.Tech/B.E.,computer engineering,78.7,0,Orissa,2011,4.244604316546763,0.8333333333333334,4.67948717948718,8.679367345939628,4.328023638895493,5.737796627810159,6.080205837991306,4.708197815027938,1.2923,500000,1988,5.359457072417255,3.2524749431224254
17,f,86.0,cbse,89.0,cbse,2,B.Tech/B.E.,computer science & engineering,73.9,0,Uttar Pradesh,2014,4.892086330935252,6.25,6.410256410256411,9.769936529076757,8.78052508236253,7.5815726477935055,7.7273533847928295,2.1144191476941034,0.6721,210000,1992,7.99375799181369,5.850780913730554
18,m,66.15,state board,54.0,state board,2,B.Tech/B.E.,computer science & engineering,66.0,0,Maharashtra,2013,2.5899280575539567,5.0,2.051282051282051,8.96830481918268,6.296573039432122,7.36157368859284,6.080205837991306,2.3562672004003002,-1.3934,400000,1991,6.845521341403992,3.213736702945336
19,m,79.29,icse,68.67,cbse,2,B.Tech/B.E.,computer science & engineering,76.0,0,Tamil Nadu,2013,5.251798561151079,5.166666666666667,6.089743589743589,6.782986290653876,7.073158305879155,8.44803809325562,7.272794487327359,4.228838295388207,1.4386,360000,1991,7.141288147768483,5.502736272520445
20,m,60.0,state board,50.0,state board,2,B.Tech/B.E.,computer science & engineering,69.94,0,Orissa,2013,0.8633093525179856,2.4166666666666665,3.9743589743589745,5.716538783071326,3.414733552966749,4.548943588676104,6.363676692396416,4.017346343090651,-0.6692,240000,1987,5.077501872737154,2.418111664514542
21,f,58.4,cbse,64.8,cbse,2,MCA,computer application,80.0,0,Haryana,2014,3.741007194244604,3.6666666666666665,5.564102564102564,8.96830481918268,7.180484325646163,7.64206910907577,5.830154082749239,3.604203152364273,-0.1543,120000,1992,6.762126091276724,4.323925475004612
22,m,61.0,0,59.0,0,2,B.Tech/B.E.,information technology,63.0,1,Karnataka,2011,2.5179856115107913,6.166666666666667,4.8076923076923075,9.65228541877762,5.11547736304045,8.376353039134056,7.797149025522727,6.8641481110833125,0.3444,430000,1986,6.1062078291534805,4.497448195289922
23,m,50.0,board of school education harayana,64.0,state board of technical education harayana,2,B.Tech/B.E.,electronics and communication engineering,70.0,0,Haryana,2011,2.3741007194244603,2.8333333333333335,4.166666666666667,7.692279048332249,5.902931087185409,5.737796627810159,8.140508088604975,7.006588274539238,0.3444,120000,1988,5.693661882265326,3.124700239808154
24,f,67.06,state board,70.67,state board,2,B.Tech/B.E.,computer engineering,55.5,1,Maharashtra,2012,3.741007194244604,4.083333333333333,3.3974358974358974,5.724205866525998,8.536664062765341,7.148339925062449,6.590956141129151,4.651655408222834,0.2889,120000,1991,6.906076180183526,3.740592141671278
25,f,67.0,cbse,61.0,cbse,2,B.Tech/B.E.,computer science & engineering,75.0,0,Chhattisgarh,2012,2.7338129496402876,3.5833333333333335,2.5641025641025643,7.442073260113761,6.341575247087594,7.148339925062449,5.454558897465471,3.3830372779584685,-0.6692,120000,1990,6.390359197914261,2.9604162823587283
26,m,73.0,state board,71.0,state board,2,B.Tech/B.E.,information technology,61.0,1,Rajasthan,2013,0.0,2.8333333333333335,2.4358974358974357,5.372972012654279,3.1707027137180317,4.982176311407161,2.9546328335255674,4.440330247685765,-2.5853,600000,1992,4.166795402741249,1.7564102564102564
27,m,86.17,rbse,78.6,cbse,1,B.Tech/B.E.,computer engineering,73.34,1,Rajasthan,2010,4.676258992805756,5.0,7.371794871794871,9.936480544582476,4.065652277281527,8.173397169025812,7.153313814213467,5.492119089316987,0.6603,500000,1988,5.975061042800954,5.682684621533543
28,m,78.0,icse,75.0,cbse,2,B.Tech/B.E.,mechanical engineering,73.0,0,Uttar Pradesh,2014,6.474820143884892,6.0,5.769230769230769,5.335042523564886,9.512277960805623,7.364956286427978,6.818235589861887,1.480110082561921,0.2889,240000,1990,8.053839938633391,6.081350304371887
29,m,71.8,cbse,68.2,cbse,2,B.Tech/B.E.,electronics and communication engineering,76.5,0,Punjab,2012,6.258992805755396,6.583333333333333,5.961538461538462,0.0,6.341575247087594,6.498490840965863,5.681838346198208,4.651655408222834,-2.0105,200000,1989,5.9675622565072075,6.267954866875731
30,m,66.66,u p board,80.4,u p board,2,B.Tech/B.E.,information technology,64.29,0,Uttar Pradesh,2011,4.9640287769784175,5.166666666666667,5.833333333333333,9.507873769713388,6.690384811330368,7.970441298917569,6.294768284387661,4.12025685931115,-0.1295,80000,1992,6.708834383831112,5.321342925659472
31,m,85.0,state board,81.0,state board,2,B.Tech/B.E.,computer science & engineering,76.7,1,West Bengal,2013,3.9568345323741005,5.583333333333333,4.102564102564102,8.113578035841693,9.512277960805623,8.664654454621148,9.318309525921983,4.651655408222834,0.8637,330000,1992,8.210896633281479,4.547577322757179
32,f,83.6,cbse,74.0,cbse,2,B.Tech/B.E.,information technology,71.0,0,Uttar Pradesh,2013,6.258992805755396,6.666666666666667,7.6923076923076925,9.936480544582476,5.3659613490473115,7.5815726477935055,7.7273533847928295,3.3830372779584685,0.2889,450000,1990,6.822962525918794,6.872655721576585
33,m,61.69,state board,60.66,state board,1,MCA,computer application,77.5,0,Punjab,2014,3.741007194244604,6.833333333333333,5.128205128205129,6.782986290653876,7.561050164725062,8.014805370524563,7.7273533847928295,5.074639312817947,-1.0524,240000,1990,7.057142401806126,5.234181885261022
34,m,85.0,cbse,82.0,cbse,2,B.Tech/B.E.,electronics and communication engineering,81.0,1,Karnataka,2013,7.913669064748201,5.5,7.3076923076923075,8.472776186482049,8.292803043168155,7.798189009159034,7.7273533847928295,4.86314736052039,-1.0524,325000,1991,7.238799519149906,6.907120457480169
35,m,80.13,state board,69.17,state board,2,B.Tech/B.E.,Other,60.34,0,Maharashtra,2012,5.899280575539568,4.083333333333333,3.3974358974358974,9.984169685865249,5.609822368644499,6.7151072023313905,7.500073936060094,3.8058543907930944,-0.2859,215000,1991,6.504787279060722,4.460016602102933
36,m,82.5,cbse,85.0,state board,2,B.Tech/B.E.,information technology,75.0,1,Tamil Nadu,2013,5.251798561151079,4.833333333333333,5.256410256410256,8.000644306862371,6.829297286281967,4.982176311407161,5.909117794930943,5.497456425652573,0.6721,315000,1991,5.555783741741875,5.113847383631556
